,Cycle,Subject,activation / control,Behavior,Event_Type,Time_Relative_sf,Duration_sf
0,3cycle,A,activation,Approach hands to food (from tray),State point,18.2914,0
1,3cycle,A,activation,Approach hands to food (from tray),State point,19.5869,0
2,3cycle,A,activation,Approach hands to food (from tray),State point,20.9749,0
3,3cycle,A,activation,Approach hands to food (from tray),State point,32.0892,0
4,3cycle,A,activation,Approach hands to food (from tray),State point,33.2657,0
5,3cycle,A,activation,Approach hands to food (from tray),State point,44.2092,0
6,3cycle,A,activation,Approach hands to food (from tray),State point,45.9732,0
7,3cycle,A,activation,Approach hands to food (from tray),State point,47.0412,0
8,3cycle,A,activation,Approach hands to food (from tray),State point,49.8852,0
9,3cycle,A,activation,Approach hands to food (from tray),State point,62.0972,0
10,3cycle,A,activation,Approach hands to food (from tray),State point,63.2207,0
11,3cycle,A,activation,Approach hands to food (from tray),State point,73.8212,0
12,3cycle,A,activation,Approach hands to food (from tray),State point,74.6572,0
13,3cycle,A,activation,Approach hands to food (from tray),State point,87.9772,0
14,3cycle,A,activation,Approach hands to food (from tray),State point,166.234,0
15,3cycle,A,activation,Approach hands to food (from tray),State point,239.758,0
16,3cycle,A,activation,Approach hands to food (from tray),State point,297.601,0
17,3cycle,A,activation,Approach hands to food (from tray),State point,342.826,0
18,3cycle,A,activation,Approach hands to food (from tray),State point,407.118,0
19,3cycle,A,activation,Approach hands to food (from tray),State point,472.203,0
20,3cycle,A,activation,Approach hands to food (from tray),State point,526.022,0
21,3cycle,A,activation,Approach hands to food (from tray),State point,591.241,0
22,3cycle,A,activation,Approach hands to food (from tray),State point,622.621,0
23,3cycle,A,activation,Approach hands to food (from tray),State point,736.638,0
24,3cycle,A,activation,Approach hands to food (from tray),State point,793.727,0
25,3cycle,A,activation,Approach hands to food (from tray),State point,839.219,0
26,3cycle,A,activation,Approach hands to food (from tray),State point,902.816,0
27,3cycle,A,activation,Approach hands to food (from tray),State point,962.288,0
28,3cycle,A,activation,Approach hands to food (from tray),State point,1047.3,0
29,3cycle,A,activation,Approach hands to food (from tray),State point,1134.39,0
30,3cycle,A,control,Approach hands to food (from tray),State point,4.18167,0
31,3cycle,A,control,Approach hands to food (from tray),State point,68.1183,0
32,3cycle,A,control,Approach hands to food (from tray),State point,91.5395,0
33,3cycle,A,control,Approach hands to food (from tray),State point,95.899,0
34,3cycle,A,control,Approach hands to food (from tray),State point,163.665,0
35,3cycle,A,control,Approach hands to food (from tray),State point,231.694,0
36,3cycle,A,control,Approach hands to food (from tray),State point,300.065,0
37,3cycle,A,control,Approach hands to food (from tray),State point,340.821,0
38,3cycle,A,control,Approach hands to food (from tray),State point,381.457,0
39,3cycle,A,control,Approach hands to food (from tray),State point,420.433,0
40,3cycle,A,control,Approach hands to food (from tray),State point,457.908,0
41,3cycle,A,control,Approach hands to food (from tray),State point,459.496,0
42,3cycle,A,control,Approach hands to food (from tray),State point,504.227,0
43,3cycle,A,control,Approach hands to food (from tray),State point,513.256,0
44,3cycle,A,control,Approach hands to food (from tray),State point,562.323,0
45,3cycle,A,control,Approach hands to food (from tray),State point,673.02,0
46,3cycle,A,control,Approach hands to food (from tray),State point,701.868,0
47,3cycle,A,control,Approach hands to food (from tray),State point,893.322,0
48,3cycle,A,control,Approach hands to food (from tray),State point,894.826,0
49,3cycle,A,control,Approach hands to food (from tray),State point,1002.79,0
50,3cycle,A,control,Approach hands to food (from tray),State point,1144.56,0
51,3cycle,B,activation,Approach hands to food (from tray),State point,10.4165,0
52,3cycle,B,activation,Approach hands to food (from tray),State point,14.9998,0
53,3cycle,B,activation,Approach hands to food (from tray),State point,16.2081,0
54,3cycle,B,activation,Approach hands to food (from tray),State point,27.3329,0
55,3cycle,B,activation,Approach hands to food (from tray),State point,83.1237,0
56,3cycle,B,activation,Approach hands to food (from tray),State point,104.241,0
57,3cycle,B,activation,Approach hands to food (from tray),State point,126.581,0
58,3cycle,B,activation,Approach hands to food (from tray),State point,182.497,0
59,3cycle,B,activation,Approach hands to food (from tray),State point,240.913,0
60,3cycle,B,activation,Approach hands to food (from tray),State point,293.079,0
61,3cycle,B,activation,Approach hands to food (from tray),State point,390.16,0
62,3cycle,B,activation,Approach hands to food (from tray),State point,474.492,0
63,3cycle,B,activation,Approach hands to food (from tray),State point,541.95,0
64,3cycle,B,activation,Approach hands to food (from tray),State point,544.891,0
65,3cycle,B,activation,Approach hands to food (from tray),State point,591.837,0
66,3cycle,B,activation,Approach hands to food (from tray),State point,604.116,0
67,3cycle,B,activation,Approach hands to food (from tray),State point,660.407,0
68,3cycle,B,activation,Approach hands to food (from tray),State point,669.841,0
69,3cycle,B,activation,Approach hands to food (from tray),State point,677.217,0
70,3cycle,B,activation,Approach hands to food (from tray),State point,679.989,0
71,3cycle,B,activation,Approach hands to food (from tray),State point,684.989,0
72,3cycle,B,activation,Approach hands to food (from tray),State point,691.746,0
73,3cycle,B,activation,Approach hands to food (from tray),State point,730.405,0
74,3cycle,B,activation,Approach hands to food (from tray),State point,733.37,0
75,3cycle,B,activation,Approach hands to food (from tray),State point,734.78,0
76,3cycle,B,activation,Approach hands to food (from tray),State point,897.361,0
77,3cycle,B,activation,Approach hands to food (from tray),State point,905.527,0
78,3cycle,B,activation,Approach hands to food (from tray),State point,908.444,0
79,3cycle,B,activation,Approach hands to food (from tray),State point,911.355,0
80,3cycle,B,activation,Approach hands to food (from tray),State point,913.194,0
81,3cycle,B,activation,Approach hands to food (from tray),State point,916.86,0
82,3cycle,B,activation,Approach hands to food (from tray),State point,920.277,0
83,3cycle,B,activation,Approach hands to food (from tray),State point,924.902,0
84,3cycle,B,activation,Approach hands to food (from tray),State point,935.735,0
85,3cycle,B,activation,Approach hands to food (from tray),State point,937.541,0
86,3cycle,B,activation,Approach hands to food (from tray),State point,964.293,0
87,3cycle,B,activation,Approach hands to food (from tray),State point,1034.23,0
88,3cycle,B,control,Approach hands to food (from tray),State point,5.9999,0
89,3cycle,B,control,Approach hands to food (from tray),State point,11.7498,0
90,3cycle,B,control,Approach hands to food (from tray),State point,13.6248,0
91,3cycle,B,control,Approach hands to food (from tray),State point,82.2724,0
92,3cycle,B,control,Approach hands to food (from tray),State point,129.498,0
93,3cycle,B,control,Approach hands to food (from tray),State point,144.581,0
94,3cycle,B,control,Approach hands to food (from tray),State point,218.163,0
95,3cycle,B,control,Approach hands to food (from tray),State point,242.204,0
96,3cycle,B,control,Approach hands to food (from tray),State point,270.746,0
97,3cycle,B,control,Approach hands to food (from tray),State point,299.454,0
98,3cycle,B,control,Approach hands to food (from tray),State point,303.12,0
99,3cycle,B,control,Approach hands to food (from tray),State point,404.66,0
100,3cycle,B,control,Approach hands to food (from tray),State point,467.034,0
101,3cycle,B,control,Approach hands to food (from tray),State point,485.534,0
102,3cycle,B,control,Approach hands to food (from tray),State point,541.116,0
103,3cycle,B,control,Approach hands to food (from tray),State point,556.324,0
104,3cycle,B,control,Approach hands to food (from tray),State point,616.244,0
105,3cycle,B,control,Approach hands to food (from tray),State point,660.614,0
106,3cycle,B,control,Approach hands to food (from tray),State point,728.405,0
107,3cycle,B,control,Approach hands to food (from tray),State point,773.821,0
108,3cycle,B,control,Approach hands to food (from tray),State point,786.112,0
109,3cycle,B,control,Approach hands to food (from tray),State point,805.987,0
110,3cycle,B,control,Approach hands to food (from tray),State point,808.029,0
111,3cycle,B,control,Approach hands to food (from tray),State point,993.567,0
112,3cycle,B,control,Approach hands to food (from tray),State point,1049.82,0
113,3cycle,B,control,Approach hands to food (from tray),State point,1057.86,0
114,3cycle,B,control,Approach hands to food (from tray),State point,1095.27,0
115,3cycle,C,activation,Approach hands to food (from tray),State point,7.33322,0
116,3cycle,C,activation,Approach hands to food (from tray),State point,7.79154,0
117,3cycle,C,activation,Approach hands to food (from tray),State point,9.47019,0
118,3cycle,C,activation,Approach hands to food (from tray),State point,10.1248,0
119,3cycle,C,activation,Approach hands to food (from tray),State point,11.1248,0
120,3cycle,C,activation,Approach hands to food (from tray),State point,12.4998,0
121,3cycle,C,activation,Approach hands to food (from tray),State point,13.7081,0
122,3cycle,C,activation,Approach hands to food (from tray),State point,22.8746,0
123,3cycle,C,activation,Approach hands to food (from tray),State point,23.7913,0
124,3cycle,C,activation,Approach hands to food (from tray),State point,24.7079,0
125,3cycle,C,activation,Approach hands to food (from tray),State point,25.7496,0
126,3cycle,C,activation,Approach hands to food (from tray),State point,34.5828,0
127,3cycle,C,activation,Approach hands to food (from tray),State point,39.7494,0
128,3cycle,C,activation,Approach hands to food (from tray),State point,50.0409,0
129,3cycle,C,activation,Approach hands to food (from tray),State point,60.5824,0
130,3cycle,C,activation,Approach hands to food (from tray),State point,71.4989,0
131,3cycle,C,activation,Approach hands to food (from tray),State point,73.2905,0
132,3cycle,C,activation,Approach hands to food (from tray),State point,81.1654,0
133,3cycle,C,activation,Approach hands to food (from tray),State point,88.9152,0
134,3cycle,C,activation,Approach hands to food (from tray),State point,91.1235,0
135,3cycle,C,activation,Approach hands to food (from tray),State point,105.748,0
136,3cycle,C,activation,Approach hands to food (from tray),State point,107.415,0
137,3cycle,C,activation,Approach hands to food (from tray),State point,116.581,0
138,3cycle,C,activation,Approach hands to food (from tray),State point,128.456,0
139,3cycle,C,activation,Approach hands to food (from tray),State point,132.581,0
140,3cycle,C,activation,Approach hands to food (from tray),State point,142.949,0
141,3cycle,C,activation,Approach hands to food (from tray),State point,156.714,0
142,3cycle,C,activation,Approach hands to food (from tray),State point,178.039,0
143,3cycle,C,activation,Approach hands to food (from tray),State point,186.039,0
144,3cycle,C,activation,Approach hands to food (from tray),State point,189.997,0
145,3cycle,C,activation,Approach hands to food (from tray),State point,192.414,0
146,3cycle,C,activation,Approach hands to food (from tray),State point,217.83,0
147,3cycle,C,activation,Approach hands to food (from tray),State point,219.955,0
148,3cycle,C,activation,Approach hands to food (from tray),State point,225.496,0
149,3cycle,C,activation,Approach hands to food (from tray),State point,229.413,0
150,3cycle,C,activation,Approach hands to food (from tray),State point,242.954,0
151,3cycle,C,activation,Approach hands to food (from tray),State point,248.496,0
152,3cycle,C,activation,Approach hands to food (from tray),State point,259.204,0
153,3cycle,C,activation,Approach hands to food (from tray),State point,270.829,0
154,3cycle,C,activation,Approach hands to food (from tray),State point,280.246,0
155,3cycle,C,activation,Approach hands to food (from tray),State point,289.287,0
156,3cycle,C,activation,Approach hands to food (from tray),State point,297.162,0
157,3cycle,C,activation,Approach hands to food (from tray),State point,310.162,0
158,3cycle,C,activation,Approach hands to food (from tray),State point,315.37,0
159,3cycle,C,activation,Approach hands to food (from tray),State point,324.62,0
160,3cycle,C,activation,Approach hands to food (from tray),State point,335.62,0
161,3cycle,C,activation,Approach hands to food (from tray),State point,342.703,0
162,3cycle,C,activation,Approach hands to food (from tray),State point,348.786,0
163,3cycle,C,activation,Approach hands to food (from tray),State point,354.536,0
164,3cycle,C,activation,Approach hands to food (from tray),State point,364.661,0
165,3cycle,C,activation,Approach hands to food (from tray),State point,369.744,0
166,3cycle,C,activation,Approach hands to food (from tray),State point,375.536,0
167,3cycle,C,activation,Approach hands to food (from tray),State point,389.785,0
168,3cycle,C,activation,Approach hands to food (from tray),State point,523.492,0
169,3cycle,C,activation,Approach hands to food (from tray),State point,548.283,0
170,3cycle,C,activation,Approach hands to food (from tray),State point,568.074,0
171,3cycle,C,activation,Approach hands to food (from tray),State point,604.865,0
172,3cycle,C,activation,Approach hands to food (from tray),State point,622.698,0
173,3cycle,C,activation,Approach hands to food (from tray),State point,672.406,0
174,3cycle,C,activation,Approach hands to food (from tray),State point,679.739,0
175,3cycle,C,activation,Approach hands to food (from tray),State point,685.943,0
176,3cycle,C,activation,Approach hands to food (from tray),State point,689.072,0
177,3cycle,C,activation,Approach hands to food (from tray),State point,698.405,0
178,3cycle,C,activation,Approach hands to food (from tray),State point,719.155,0
179,3cycle,C,activation,Approach hands to food (from tray),State point,778.654,0
180,3cycle,C,activation,Approach hands to food (from tray),State point,796.404,0
181,3cycle,C,activation,Approach hands to food (from tray),State point,827.195,0
182,3cycle,C,activation,Approach hands to food (from tray),State point,845.653,0
183,3cycle,C,activation,Approach hands to food (from tray),State point,848.153,0
184,3cycle,C,activation,Approach hands to food (from tray),State point,860.945,0
185,3cycle,C,activation,Approach hands to food (from tray),State point,880.319,0
186,3cycle,C,activation,Approach hands to food (from tray),State point,897.319,0
187,3cycle,C,activation,Approach hands to food (from tray),State point,956.776,0
188,3cycle,C,activation,Approach hands to food (from tray),State point,963.276,0
189,3cycle,C,activation,Approach hands to food (from tray),State point,972.026,0
190,3cycle,C,activation,Approach hands to food (from tray),State point,975.234,0
191,3cycle,C,activation,Approach hands to food (from tray),State point,983.609,0
192,3cycle,C,activation,Approach hands to food (from tray),State point,991.317,0
193,3cycle,C,activation,Approach hands to food (from tray),State point,1028.36,0
194,3cycle,C,activation,Approach hands to food (from tray),State point,1066.9,0
195,3cycle,C,control,Approach hands to food (from tray),State point,3.45828,0
196,3cycle,C,control,Approach hands to food (from tray),State point,4.70826,0
197,3cycle,C,control,Approach hands to food (from tray),State point,5.33325,0
198,3cycle,C,control,Approach hands to food (from tray),State point,7.54155,0
199,3cycle,C,control,Approach hands to food (from tray),State point,19.4842,0
200,3cycle,C,control,Approach hands to food (from tray),State point,20.7497,0
201,3cycle,C,control,Approach hands to food (from tray),State point,35.9578,0
202,3cycle,C,control,Approach hands to food (from tray),State point,62.7907,0
203,3cycle,C,control,Approach hands to food (from tray),State point,97.1651,0
204,3cycle,C,control,Approach hands to food (from tray),State point,105.873,0
205,3cycle,C,control,Approach hands to food (from tray),State point,121.665,0
206,3cycle,C,control,Approach hands to food (from tray),State point,153.914,0
207,3cycle,C,control,Approach hands to food (from tray),State point,173.289,0
208,3cycle,C,control,Approach hands to food (from tray),State point,182.872,0
209,3cycle,C,control,Approach hands to food (from tray),State point,199.663,0
210,3cycle,C,control,Approach hands to food (from tray),State point,227.038,0
211,3cycle,C,control,Approach hands to food (from tray),State point,251.913,0
212,3cycle,C,control,Approach hands to food (from tray),State point,253.038,0
213,3cycle,C,control,Approach hands to food (from tray),State point,272.454,0
214,3cycle,C,control,Approach hands to food (from tray),State point,312.37,0
215,3cycle,C,control,Approach hands to food (from tray),State point,326.078,0
216,3cycle,C,control,Approach hands to food (from tray),State point,344.203,0
217,3cycle,C,control,Approach hands to food (from tray),State point,381.827,0
218,3cycle,C,control,Approach hands to food (from tray),State point,461.451,0
219,3cycle,C,control,Approach hands to food (from tray),State point,463.045,0
220,3cycle,C,control,Approach hands to food (from tray),State point,527.7,0
221,3cycle,C,control,Approach hands to food (from tray),State point,535.408,0
222,3cycle,C,control,Approach hands to food (from tray),State point,546.158,0
223,3cycle,C,control,Approach hands to food (from tray),State point,550.325,0
224,3cycle,C,control,Approach hands to food (from tray),State point,638.948,0
225,3cycle,C,control,Approach hands to food (from tray),State point,895.944,0
226,3cycle,C,control,Approach hands to food (from tray),State point,1004.03,0
227,3cycle,C,control,Approach hands to food (from tray),State point,1176.48,0
